2026-01-29 22:05:19 | INFO | Start generation for E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-时代红利.md
2026-01-29 22:05:19 | INFO | Account: IP内容工厂 | Abbr: gongchang | Date: 2026-01-29 | Model: pro
2026-01-29 22:06:25 | INFO | Start generation for E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-时代红利.md
2026-01-29 22:06:25 | INFO | Account: IP内容工厂 | Abbr: gongchang | Date: 2026-01-29 | Model: pro
2026-01-29 22:06:28 | INFO | [1/8] 封面图（知识黑板报风格） attempt 1/3
2026-01-29 22:06:41 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:06:43 | INFO | [1/8] 封面图（知识黑板报风格） attempt 2/3
2026-01-29 22:07:02 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:07:04 | INFO | [1/8] 封面图（知识黑板报风格） attempt 3/3
2026-01-29 22:07:20 | ERROR | Failed: 封面图（知识黑板报风格）
2026-01-29 22:07:20 | INFO | [2/8] 配图1：红利三要素 attempt 1/3
2026-01-29 22:07:41 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:07:43 | INFO | [2/8] 配图1：红利三要素 attempt 2/3
2026-01-29 22:07:54 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:07:56 | INFO | [2/8] 配图1：红利三要素 attempt 3/3
2026-01-29 22:11:32 | INFO | Start generation for E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-时代红利.md
2026-01-29 22:11:32 | INFO | Account: IP内容工厂 | Abbr: gongchang | Date: 2026-01-29 | Model: pro
2026-01-29 22:11:36 | INFO | [1/8] 封面图（知识黑板报风格） attempt 1/3
2026-01-29 22:11:45 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:11:47 | INFO | [1/8] 封面图（知识黑板报风格） attempt 2/3
2026-01-29 22:12:02 | ERROR | Failed: 配图1：红利三要素
2026-01-29 22:12:02 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 1/3
2026-01-29 22:12:03 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:12:03 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:12:05 | INFO | [1/8] 封面图（知识黑板报风格） attempt 3/3
2026-01-29 22:12:05 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 2/3
2026-01-29 22:12:16 | ERROR | Failed: 封面图（知识黑板报风格）
2026-01-29 22:12:16 | INFO | [2/8] 配图1：红利三要素 attempt 1/3
2026-01-29 22:12:18 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:12:20 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 3/3
2026-01-29 22:16:26 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:16:28 | INFO | [2/8] 配图1：红利三要素 attempt 2/3
2026-01-29 22:18:31 | ERROR | Failed: 配图2：信号1（注意力稀缺）
2026-01-29 22:18:31 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 1/3
2026-01-29 22:18:48 | INFO | Start generation for E:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-时代红利.md
2026-01-29 22:18:48 | INFO | Account: IP内容工厂 | Abbr: gongchang | Date: 2026-01-29 | Model: pro
2026-01-29 22:18:54 | INFO | [1/8] 封面图（知识黑板报风格） attempt 1/3
2026-01-29 22:20:55 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:20:57 | INFO | [1/8] 封面图（知识黑板报风格） attempt 2/3
2026-01-29 22:21:26 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:21:28 | INFO | [2/8] 配图1：红利三要素 attempt 3/3
2026-01-29 22:21:55 | INFO | Start generation for e:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\gongchang-20260129-时代红利.md
2026-01-29 22:21:55 | INFO | Account: IP内容工厂 | Abbr: gongchang | Date: 2026-01-29 | Model: pro
2026-01-29 22:22:06 | INFO | [1/1] 封面图（知识黑板报风格） attempt 1/2
2026-01-29 22:22:35 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:22:37 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 2/3
2026-01-29 22:22:58 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:23:00 | INFO | [1/8] 封面图（知识黑板报风格） attempt 3/3
2026-01-29 22:23:00 | ERROR | Failed: 封面图（知识黑板报风格）
2026-01-29 22:23:00 | INFO | [2/8] 配图1：红利三要素 attempt 1/3
2026-01-29 22:25:16 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:25:18 | INFO | [1/1] 封面图（知识黑板报风格） attempt 2/2
2026-01-29 22:26:47 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:26:49 | INFO | [4/8] 配图3：信号2（生产成本下降） attempt 3/3
2026-01-29 22:27:29 | ERROR | Failed: 配图1：红利三要素
2026-01-29 22:27:29 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 1/3
2026-01-29 22:27:29 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:27:31 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 2/3
2026-01-29 22:28:06 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:28:08 | INFO | [2/8] 配图1：红利三要素 attempt 2/3
2026-01-29 22:29:22 | ERROR | Failed: 封面图（知识黑板报风格）
2026-01-29 22:29:22 | INFO | Index: e:\公众号内容生成\公众号内容生成\生成内容\2026-01-29\images\gongchang\index.json
2026-01-29 22:29:22 | INFO | NOTE: Watermark/Logo (if any) is preserved as generated by Gemini.
2026-01-29 22:29:43 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:29:45 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 3/3
2026-01-29 22:30:18 | WARNING | Generation failed, retrying after 2s...
2026-01-29 22:30:20 | INFO | [2/8] 配图1：红利三要素 attempt 3/3
2026-01-29 22:30:21 | ERROR | Failed: 配图1：红利三要素
2026-01-29 22:30:21 | INFO | [3/8] 配图2：信号1（注意力稀缺） attempt 1/3
2026-01-29 22:30:49 | ERROR | Failed: 配图3：信号2（生产成本下降）
2026-01-29 22:30:49 | INFO | [5/8] 配图4：信号3（信任从关注变成交付） attempt 1/3
