"old_path","new_path","status","note"
".gha_gzh_xhs_testkey","archive\reorg-20260228\legacy-root\\.gha_gzh_xhs_testkey","moved","non-contract-root-file"
".obsidian","archive\reorg-20260228\legacy-root\\.obsidian","moved","non-contract-root-directory"
".vscode","archive\reorg-20260228\legacy-root\\.vscode","moved","non-contract-root-directory"
"100个冲突性选题.md","01-选题管理\\选题规划\\根目录迁入\\100个冲突性选题.md","moved","root-md-topic"
"desktop-app","archive\reorg-20260228\legacy-root\\desktop-app","moved","non-contract-root-directory"
"feishu-cutover-ascii-20260222.zip","archive\reorg-20260228\artifacts\\feishu-cutover-ascii-20260222.zip","moved","artifact-zip"
"feishu-cutover-bundle-20260222.zip","archive\reorg-20260228\artifacts\\feishu-cutover-bundle-20260222.zip","moved","artifact-zip"
"feishu-cutover-files.zip","archive\reorg-20260228\artifacts\\feishu-cutover-files.zip","moved","artifact-zip"
"nul_file.txt","archive\reorg-20260228\legacy-root\\nul_file.txt","moved","non-contract-root-file"
"one-shot-feishu-cutover.sh","archive\reorg-20260228\legacy-root\\one-shot-feishu-cutover.sh","moved","non-contract-root-file"
"reports","archive\reorg-20260228\artifacts\\reports","moved","artifact-directory"
"scripts","archive\reorg-20260228\legacy-root\\scripts","moved","non-contract-root-directory"
"tmp","archive\reorg-20260228\artifacts\\tmp","moved","artifact-directory"
"爆款标题1.md","01-选题管理\\选题规划\\根目录迁入\\爆款标题1.md","moved","root-md-topic"
"爆款标题2.md","01-选题管理\\选题规划\\根目录迁入\\爆款标题2.md","moved","root-md-topic"
"爆款标题3.md","01-选题管理\\选题规划\\根目录迁入\\爆款标题3.md","moved","root-md-topic"
"爆款标题整理.md","01-选题管理\\选题规划\\根目录迁入\\爆款标题整理.md","moved","root-md-topic"
"爆款标题整理汇总.md","01-选题管理\\选题规划\\根目录迁入\\爆款标题整理汇总.md","moved","root-md-topic"
"飞书机器人接入-Codex-Claude执行提示词包.md","06-工具\\docs\\根目录迁入\\飞书机器人接入-Codex-Claude执行提示词包.md","moved","root-md-tool"
"飞书机器人接入从0到1教程.md","06-工具\\docs\\根目录迁入\\飞书机器人接入从0到1教程.md","moved","root-md-tool"
"公众号爆文写作系统（可直接喂给AI的创作指令库）.md","02-内容生产\\策略沉淀\\根目录迁入\\公众号爆文写作系统（可直接喂给AI的创作指令库）.md","moved","root-md-content"
"公众号爆文写作系统（增强版：标题库驱动 + 正文生产线）.md","01-选题管理\\选题规划\\根目录迁入\\公众号爆文写作系统（增强版：标题库驱动 + 正文生产线）.md","moved","root-md-topic"
"公众号矩阵内容计划.md","02-内容生产\\策略沉淀\\根目录迁入\\公众号矩阵内容计划.md","moved","root-md-content"
"公众号内容生成","archive\reorg-20260228\legacy-root\\公众号内容生成","moved","non-contract-root-directory"
"公众号内容生成器","archive\reorg-20260228\legacy-root\\公众号内容生成器","moved","non-contract-root-directory"
"公众号引流话术.md","02-内容生产\\策略沉淀\\根目录迁入\\公众号引流话术.md","moved","root-md-content"
"关键词占位营销智能体.md","archive\reorg-20260228\root-md-unclassified\\关键词占位营销智能体.md","moved","root-md-unclassified"
"尖锐吐槽改写智能体_系统提示词_优化版_v2.md","06-工具\\docs\\根目录迁入\\尖锐吐槽改写智能体_系统提示词_优化版_v2.md","moved","root-md-tool"
